epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.389,1.14023,2.23941,3.03699,1.20323,0.62481,0.44358,0.55783,0.34431,0.62321,0.44177,0.5546,0.38162,1.05834,1.51708,1.94909,1.14593,3.32303e-05,3.32303e-05,3.32303e-05
2,24.1903,1.06382,1.83495,2.03897,1.11529,0.67336,0.72616,0.71873,0.47963,0.671,0.72435,0.7156,0.51098,1.04072,1.36847,1.47882,1.12114,6.62408e-05,6.62408e-05,6.62408e-05
3,35.9573,1.06709,1.73718,1.72833,1.1113,0.78867,0.4661,0.61993,0.44037,0.78867,0.4661,0.61951,0.43466,0.97961,1.4666,1.47504,1.07878,9.89212e-05,9.89212e-05,9.89212e-05
4,47.166,1.06766,1.71777,1.56823,1.11102,0.57167,0.53131,0.60162,0.41057,0.51467,0.57169,0.62785,0.40597,0.98289,1.36392,1.27155,1.06584,0.000131272,0.000131272,0.000131272
5,57.7017,1.0415,1.62911,1.38301,1.09513,0.67867,0.61333,0.66716,0.4605,0.68121,0.61514,0.6675,0.47493,0.98266,1.34292,1.05913,1.0563,0.000163292,0.000163292,0.000163292
6,68.3471,1.02892,1.66717,1.31586,1.0895,0.77541,0.56134,0.70113,0.49165,0.77403,0.55952,0.69709,0.4723,1.01327,1.33667,1.01038,1.09084,0.000194982,0.000194982,0.000194982
7,78.8942,1.05064,1.66796,1.26857,1.09659,0.64137,0.71436,0.74526,0.5007,0.64137,0.71436,0.74314,0.50946,0.99342,1.29565,1.09442,1.07709,0.000226342,0.000226342,0.000226342
8,89.4775,1.08397,1.69899,1.25326,1.1188,0.5611,0.83152,0.70266,0.4929,0.55893,0.82971,0.7255,0.5137,1.03993,1.3029,1.10712,1.07953,0.000257372,0.000257372,0.000257372
9,100.064,1.04008,1.6384,1.17731,1.10853,0.72992,0.72904,0.78672,0.56723,0.72283,0.72179,0.76927,0.56066,0.98571,1.63368,0.82888,1.07061,0.000288072,0.000288072,0.000288072
10,110.591,1.07515,1.71781,1.17003,1.11099,0.74552,0.75289,0.79625,0.46782,0.74353,0.75108,0.79484,0.47894,1.05122,1.39014,0.93505,1.11451,0.000318442,0.000318442,0.000318442
11,121.062,1.09438,1.69873,1.15309,1.12308,0.81118,0.65492,0.7865,0.54581,0.81118,0.65492,0.80855,0.55865,1.02124,1.32625,0.85981,1.09069,0.000348482,0.000348482,0.000348482
12,131.368,1.04878,1.64829,1.06876,1.114,0.75376,0.77278,0.80659,0.59425,0.77146,0.76295,0.80353,0.59922,0.97612,1.31702,0.82437,1.04233,0.000378192,0.000378192,0.000378192
13,141.539,1.04379,1.62145,1.05127,1.09929,0.76851,0.78016,0.83132,0.57464,0.76851,0.78016,0.8288,0.6073,0.94995,1.27379,0.93676,1.06766,0.000407572,0.000407572,0.000407572
14,151.731,1.0589,1.64483,1.05055,1.10513,0.71665,0.83566,0.8621,0.63379,0.71466,0.83385,0.85806,0.64751,0.95929,1.37655,0.95249,1.05231,0.000436621,0.000436621,0.000436621
