epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9223,0.93475,2.38059,2.68629,1.22907,0.81194,0.63294,0.70089,0.56703,0.81194,0.63294,0.70004,0.57857,0.62995,0.95992,1.15497,1.24183,0.000199571,0.000199571,0.000199571
2,49.4694,0.71727,1.46878,1.18501,1.07469,0.88061,0.75526,0.84022,0.68911,0.88061,0.75526,0.83814,0.70292,0.55639,0.73709,0.63879,1.12748,0.000397593,0.000397593,0.000397593
3,74.0135,0.67765,1.27074,0.87801,1.03596,0.85787,0.84198,0.86459,0.71617,0.85594,0.84017,0.85892,0.72485,0.53479,0.68865,0.52251,1.11069,0.000593635,0.000593635,0.000593635
4,97.7598,0.6585,1.18753,0.73531,1.02318,0.92106,0.86344,0.92133,0.76496,0.91848,0.86163,0.91774,0.77003,0.51123,0.60989,0.44213,1.07243,0.000787697,0.000787697,0.000787697
5,120.703,0.65649,1.14239,0.71153,1.01223,0.9518,0.86212,0.92705,0.77831,0.94958,0.8603,0.92083,0.78349,0.472,0.57551,0.39782,1.04379,0.000979779,0.000979779,0.000979779
6,143.568,0.64792,1.11013,0.64557,1.00858,0.93398,0.89865,0.94222,0.79756,0.93198,0.89684,0.93755,0.79599,0.45484,0.55043,0.35681,1.03086,0.00116988,0.00116988,0.00116988
7,166.475,0.64701,1.07735,0.62362,1.00095,0.83824,0.91171,0.89957,0.76326,0.8367,0.90989,0.89284,0.76292,0.49141,0.56789,0.3854,1.05641,0.001358,0.001358,0.001358
8,189.286,0.64594,1.1044,0.61384,0.99995,0.9332,0.90095,0.94661,0.81579,0.93125,0.89914,0.94131,0.79889,0.44996,0.5377,0.35737,1.01749,0.00154415,0.00154415,0.00154415
9,212.223,0.64624,1.06721,0.60027,0.9981,0.85367,0.90681,0.91404,0.77879,0.85208,0.90526,0.91219,0.78581,0.49549,0.53168,0.37881,1.06017,0.00172831,0.00172831,0.00172831
10,235.093,0.6548,1.087,0.59169,1.00143,0.93834,0.89939,0.95343,0.81705,0.93632,0.89758,0.95104,0.81374,0.46915,0.54095,0.35013,1.06237,0.00191049,0.00191049,0.00191049
11,257.932,0.6426,1.04558,0.57468,1.00078,0.9434,0.9277,0.96104,0.82333,0.94775,0.93102,0.96235,0.81107,0.45571,0.55594,0.33135,1.02591,0.00209069,0.00209069,0.00209069
12,280.272,0.63271,1.04285,0.56296,0.98697,0.94463,0.90811,0.96177,0.83176,0.94066,0.90449,0.95805,0.82674,0.43862,0.51172,0.33119,1.00521,0.00226891,0.00226891,0.00226891
13,302.648,0.62824,1.0188,0.55224,0.98774,0.94309,0.94468,0.96583,0.82663,0.94309,0.94468,0.96334,0.83033,0.46958,0.52953,0.36228,1.05839,0.00244516,0.00244516,0.00244516
14,324.979,0.62714,1.01518,0.53924,0.98563,0.95026,0.92777,0.96107,0.83039,0.95026,0.92777,0.95933,0.82846,0.4471,0.52321,0.3569,1.00955,0.00261942,0.00261942,0.00261942
15,347.329,0.63178,1.02215,0.54632,0.99011,0.9458,0.92155,0.96652,0.82906,0.94388,0.91973,0.96572,0.82604,0.46023,0.54412,0.35289,1.02138,0.0027917,0.0027917,0.0027917
16,369.631,0.64365,1.0365,0.55398,0.98695,0.8719,0.94147,0.94892,0.82822,0.8719,0.94147,0.94596,0.82437,0.43708,0.51765,0.32637,1.01453,0.002962,0.002962,0.002962
17,391.974,0.64077,1.02307,0.54889,0.98868,0.86404,0.89271,0.9088,0.80106,0.86051,0.88911,0.90668,0.79592,0.43696,0.51164,0.37097,1.02117,0.00313032,0.00313032,0.00313032
18,414.177,0.64688,1.02336,0.55919,0.98711,0.92007,0.93359,0.96524,0.84026,0.91834,0.93178,0.96339,0.8338,0.43204,0.52015,0.31502,1.00545,0.00329667,0.00329667,0.00329667
19,436.214,0.61655,0.99989,0.52384,0.98243,0.89045,0.932,0.94346,0.82947,0.8888,0.93019,0.94022,0.82517,0.42459,0.4961,0.31708,0.99663,0.00346103,0.00346103,0.00346103
20,458.334,0.64126,1.02308,0.54668,0.99502,0.95976,0.93679,0.97517,0.83644,0.95854,0.93567,0.97243,0.83161,0.48356,0.50815,0.36977,1.073,0.00362341,0.00362341,0.00362341
21,480.308,0.64654,1.03428,0.54115,0.98979,0.97507,0.90413,0.96764,0.83652,0.97293,0.90232,0.96271,0.83262,0.42897,0.48651,0.31552,0.99491,0.00378381,0.00378381,0.00378381
22,502.348,0.63885,0.99569,0.53279,0.98776,0.90035,0.93911,0.95272,0.83254,0.89872,0.9373,0.94953,0.82076,0.42562,0.49463,0.33565,0.99877,0.00394224,0.00394224,0.00394224
23,524.464,0.65065,1.03864,0.55593,0.99689,0.94511,0.9228,0.96395,0.83702,0.94034,0.9211,0.96275,0.83896,0.44153,0.50258,0.34255,1.00845,0.00409868,0.00409868,0.00409868
24,546.539,0.64741,1.0072,0.53988,0.99288,0.88845,0.94147,0.9583,0.84256,0.8959,0.92628,0.94914,0.83326,0.41955,0.48754,0.33262,0.9927,0.00425314,0.00425314,0.00425314
25,568.495,0.65546,1.03612,0.56043,0.99681,0.84096,0.96001,0.93649,0.82072,0.86548,0.92601,0.93274,0.82129,0.42886,0.51308,0.34013,1.00051,0.00440562,0.00440562,0.00440562
26,590.441,0.64431,1.00749,0.54105,0.99166,0.89466,0.90455,0.94768,0.83668,0.89687,0.90273,0.9438,0.8248,0.39979,0.46678,0.32123,0.97481,0.00455612,0.00455612,0.00455612
27,612.285,0.64894,0.99884,0.53482,0.98525,0.9095,0.93837,0.96799,0.85235,0.91207,0.92788,0.96544,0.8459,0.39592,0.50031,0.309,0.97117,0.00470465,0.00470465,0.00470465
28,634.206,0.64659,1.00261,0.53827,0.99406,0.89627,0.8835,0.93619,0.83124,0.89743,0.8835,0.933,0.82575,0.41041,0.48407,0.34849,0.99192,0.00485119,0.00485119,0.00485119
29,656.023,0.65065,1.02581,0.55,0.99181,0.86647,0.93855,0.91699,0.81414,0.86495,0.93674,0.9148,0.80343,0.40593,0.50144,0.33213,0.97881,0.00499575,0.00499575,0.00499575
30,677.999,0.6622,1.03663,0.55325,0.99086,0.82309,0.9456,0.92095,0.81403,0.82207,0.9405,0.91954,0.81165,0.41377,0.48208,0.34488,0.98331,0.00513833,0.00513833,0.00513833
